x	acos	binomial	nvidia0	nvidia1	nvidia2	nvidia3	nvidia4	nvidia5	nvidia6	d_binomial	d_nvidia0	d_nvidia1	d_nvidia2	d_nvidia3	d_nvidia4	d_nvidia5	d_nvidia6
-0.996899	3.062826	2.744980	3.062829	3.062829	3.062829	3.062829	3.062829	3.062829	3.062829	0.317845	-0.000003	-0.000003	-0.000004	-0.000003	-0.000003	-0.000003	-0.000003
-0.996799	3.061565	2.744820	3.061568	3.061568	3.061568	3.061568	3.061568	3.061568	3.061568	0.316744	-0.000003	-0.000003	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.996699	3.060323	2.744660	3.060327	3.060327	3.060327	3.060327	3.060327	3.060327	3.060327	0.315663	-0.000003	-0.000003	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.996599	3.059100	2.744500	3.059104	3.059104	3.059104	3.059104	3.059104	3.059104	3.059104	0.314600	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.996499	3.057895	2.744340	3.057899	3.057899	3.057899	3.057899	3.057899	3.057899	3.057899	0.313555	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.996399	3.056707	2.744180	3.056711	3.056711	3.056711	3.056711	3.056711	3.056711	3.056711	0.312528	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.996299	3.055536	2.744020	3.055539	3.055539	3.055539	3.055540	3.055540	3.055540	3.055540	0.311516	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.996199	3.054380	2.743860	3.054384	3.054384	3.054384	3.054384	3.054384	3.054384	3.054384	0.310520	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.996099	3.053239	2.743699	3.053243	3.053243	3.053243	3.053243	3.053243	3.053243	3.053243	0.309540	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995999	3.052113	2.743539	3.052116	3.052116	3.052117	3.052116	3.052116	3.052116	3.052116	0.308573	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995899	3.051000	2.743379	3.051004	3.051004	3.051004	3.051004	3.051004	3.051004	3.051004	0.307621	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995799	3.049901	2.743219	3.049905	3.049905	3.049905	3.049906	3.049906	3.049906	3.049906	0.306683	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995699	3.048815	2.743059	3.048819	3.048819	3.048820	3.048820	3.048820	3.048820	3.048820	0.305757	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995599	3.047742	2.742899	3.047746	3.047746	3.047746	3.047746	3.047746	3.047746	3.047746	0.304843	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995499	3.046681	2.742739	3.046685	3.046685	3.046685	3.046685	3.046685	3.046685	3.046685	0.303942	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995399	3.045631	2.742579	3.045635	3.045635	3.045635	3.045635	3.045635	3.045635	3.045635	0.303052	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995299	3.044593	2.742419	3.044597	3.044597	3.044597	3.044597	3.044597	3.044597	3.044597	0.302174	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995199	3.043566	2.742259	3.043570	3.043570	3.043570	3.043570	3.043570	3.043570	3.043570	0.301307	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.995099	3.042549	2.742099	3.042553	3.042553	3.042553	3.042553	3.042553	3.042553	3.042553	0.300450	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.994999	3.041543	2.741939	3.041547	3.041547	3.041547	3.041547	3.041547	3.041547	3.041547	0.299604	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.994899	3.040546	2.741779	3.040550	3.040550	3.040550	3.040550	3.040550	3.040550	3.040550	0.298768	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.994799	3.039560	2.741619	3.039564	3.039564	3.039564	3.039564	3.039564	3.039564	3.039564	0.297941	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.994699	3.038582	2.741459	3.038586	3.038586	3.038587	3.038586	3.038586	3.038586	3.038586	0.297124	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.994599	3.037614	2.741298	3.037618	3.037618	3.037618	3.037618	3.037618	3.037618	3.037618	0.296316	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.994499	3.036655	2.741139	3.036659	3.036659	3.036659	3.036659	3.036659	3.036659	3.036659	0.295516	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.994399	3.035704	2.740979	3.035709	3.035709	3.035709	3.035709	3.035709	3.035709	3.035709	0.294726	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004	-0.000004
-0.994299	3.034762	2.740819	3.034766	3.034766	3.034767	3.034766	3.034766	3.034766	3.034766	0.293943	-0.000004	-0.000004	-0.000005	-0.000004	-0.000004	-0.000004	-0.000004
-0.994199	3.033828	2.740659	3.033833	3.033833	3.033833	3.033833	3.033833	3.033833	3.033833	0.293169	-0.000004	-0.000004	-0.000005	-0.000004	-0.000004	-0.000004	-0.000004
-0.994099	3.032902	2.740499	3.032907	3.032907	3.032907	3.032907	3.032907	3.032907	3.032907	0.292403	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993999	3.031984	2.740339	3.031989	3.031989	3.031989	3.031989	3.031989	3.031989	3.031989	0.291645	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993899	3.031074	2.740179	3.031078	3.031078	3.031078	3.031078	3.031078	3.031078	3.031078	0.290895	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993799	3.030170	2.740019	3.030175	3.030175	3.030175	3.030175	3.030175	3.030175	3.030175	0.290151	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993699	3.029274	2.739859	3.029279	3.029279	3.029279	3.029279	3.029279	3.029279	3.029279	0.289415	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993599	3.028386	2.739699	3.028390	3.028390	3.028390	3.028390	3.028390	3.028390	3.028390	0.288686	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993499	3.027504	2.739540	3.027508	3.027508	3.027508	3.027508	3.027508	3.027508	3.027508	0.287964	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993399	3.026628	2.739380	3.026633	3.026633	3.026633	3.026633	3.026633	3.026633	3.026633	0.287249	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993299	3.025760	2.739220	3.025764	3.025764	3.025764	3.025764	3.025764	3.025764	3.025764	0.286540	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993199	3.024898	2.739060	3.024902	3.024902	3.024902	3.024902	3.024902	3.024902	3.024902	0.285838	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.993099	3.024042	2.738900	3.024046	3.024046	3.024046	3.024046	3.024046	3.024046	3.024046	0.285142	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992999	3.023192	2.738740	3.023197	3.023197	3.023197	3.023197	3.023197	3.023197	3.023197	0.284452	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992899	3.022348	2.738580	3.022353	3.022353	3.022353	3.022353	3.022353	3.022353	3.022353	0.283768	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992799	3.021511	2.738421	3.021515	3.021515	3.021515	3.021515	3.021515	3.021515	3.021515	0.283090	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992699	3.020679	2.738261	3.020683	3.020683	3.020683	3.020683	3.020683	3.020683	3.020683	0.282418	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992599	3.019852	2.738101	3.019857	3.019857	3.019857	3.019857	3.019857	3.019857	3.019857	0.281751	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992499	3.019031	2.737942	3.019036	3.019036	3.019036	3.019036	3.019036	3.019036	3.019036	0.281090	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992399	3.018216	2.737782	3.018221	3.018221	3.018221	3.018221	3.018221	3.018221	3.018221	0.280434	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992299	3.017406	2.737622	3.017411	3.017411	3.017411	3.017411	3.017411	3.017411	3.017411	0.279784	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992199	3.016601	2.737462	3.016606	3.016606	3.016606	3.016606	3.016606	3.016606	3.016606	0.279139	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.992099	3.015801	2.737303	3.015806	3.015806	3.015806	3.015806	3.015806	3.015806	3.015806	0.278499	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991999	3.015007	2.737143	3.015011	3.015011	3.015011	3.015011	3.015011	3.015011	3.015011	0.277864	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991899	3.014217	2.736983	3.014221	3.014221	3.014222	3.014221	3.014221	3.014221	3.014221	0.277234	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991799	3.013432	2.736824	3.013437	3.013437	3.013437	3.013437	3.013437	3.013437	3.013437	0.276608	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991699	3.012652	2.736664	3.012656	3.012656	3.012656	3.012657	3.012657	3.012657	3.012657	0.275988	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991599	3.011876	2.736504	3.011881	3.011881	3.011881	3.011881	3.011881	3.011881	3.011881	0.275372	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991499	3.011105	2.736345	3.011110	3.011110	3.011110	3.011110	3.011110	3.011110	3.011110	0.274760	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991399	3.010339	2.736185	3.010344	3.010344	3.010344	3.010344	3.010344	3.010344	3.010344	0.274153	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991299	3.009577	2.736026	3.009582	3.009582	3.009582	3.009582	3.009582	3.009582	3.009582	0.273551	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991199	3.008819	2.735866	3.008824	3.008824	3.008824	3.008824	3.008824	3.008824	3.008824	0.272953	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.991099	3.008066	2.735707	3.008070	3.008070	3.008071	3.008071	3.008071	3.008071	3.008071	0.272359	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990999	3.007317	2.735547	3.007321	3.007321	3.007322	3.007321	3.007321	3.007321	3.007321	0.271770	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990898	3.006572	2.735387	3.006576	3.006576	3.006577	3.006576	3.006576	3.006576	3.006576	0.271184	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990798	3.005831	2.735228	3.005835	3.005835	3.005836	3.005836	3.005836	3.005836	3.005836	0.270602	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990698	3.005094	2.735069	3.005098	3.005098	3.005099	3.005098	3.005098	3.005098	3.005098	0.270025	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990598	3.004360	2.734909	3.004365	3.004365	3.004365	3.004365	3.004365	3.004365	3.004365	0.269451	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990498	3.003631	2.734750	3.003636	3.003636	3.003636	3.003636	3.003636	3.003636	3.003636	0.268882	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990398	3.002906	2.734590	3.002911	3.002911	3.002911	3.002911	3.002911	3.002911	3.002911	0.268316	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990298	3.002184	2.734431	3.002189	3.002189	3.002189	3.002189	3.002189	3.002189	3.002189	0.267754	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990198	3.001467	2.734271	3.001471	3.001471	3.001472	3.001472	3.001472	3.001472	3.001472	0.267195	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.990098	3.000752	2.734112	3.000757	3.000757	3.000757	3.000757	3.000757	3.000757	3.000757	0.266640	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.989998	3.000041	2.733953	3.000046	3.000046	3.000046	3.000046	3.000046	3.000046	3.000046	0.266089	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.989898	2.999334	2.733793	2.999339	2.999339	2.999339	2.999339	2.999339	2.999339	2.999339	0.265541	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
